Player28OnsetTimes,14.5519,15.5806,15.9132,17.9487,19.5199,20.4472,21.0166,23.0250,24.4505,25.2281,25.7649,27.3418,28.5134,29.4620,30.3219,32.3919,33.6233,34.1679,35.0045,36.9286,38.2266,39.2985,40.3392,42.5828,43.7096,44.4367,46.1755,47.3231,48.0055,48.6178,50.3191,51.4916,52.1803,52.7719,53.6142,54.7811,56.1030,57.3260,58.3490,59.2329,60.1319,61.1458,62.2607,63.3980,64.4654,65.4643,66.4269,67.4043,68.4281,69.4909,70.5643,71.6065,72.6156,73.6020,74.5996,75.6257
Player29OnsetTimes,13.5233,15.5806,16.6663,17.6930,18.7240,20.9571,22.1140,22.7548,24.0084,24.9790,25.8369,27.7807,28.9042,29.5440,30.7006,31.6708,32.6164,34.7499,35.9078,36.4561,37.7477,39.1580,40.5518,41.7825,43.7333,45.0570,45.9214,46.6300,47.5013,48.6178,49.8471,51.0485,52.1151,53.0605,53.9837,54.9672,56.0401,57.1499,58.2423,59.2942,60.3047,61.2961,62.3050,63.3532,64.4189,65.4643,66.4878,67.4942,68.5025,69.5246,70.5643,71.6065,72.6320,73.6349,74.6331,75.6573
Player30OnsetTimes,12.8976,15.4745,17.0220,18.1342,18.9111,20.5170,21.5426,22.5052,23.5492,24.7074,25.9066,27.0963,28.1872,29.3346,30.4638,31.6240,32.7769,33.9112,34.9932,37.3824,38.7389,39.5245,40.2332,42.2170,43.4514,44.4830,45.5823,46.7474,47.9022,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player31OnsetTimes,12.8274,15.4136,17.0099,18.1687,18.9574,20.5170,21.5071,22.4712,23.5492,24.7303,25.9409,27.1075,28.1742,29.3229,30.4638,31.6359,32.7884,33.9112,34.9824,37.3704,38.7389,39.5356,40.2469,42.2170,43.4398,44.4720,45.5823,46.7474,47.9149,48.9883,49.9583,50.9229,51.9274,52.9959,54.0931,55.1554,56.1799,57.1803,58.1955,59.2491,60.3205,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player32OnsetTimes,13.2352,15.8266,17.1255,17.9717,18.6657,20.4938,21.6832,22.6562,23.5963,25.6932,26.8556,27.3072,28.0789,30.0282,31.2030,31.8217,32.9746,33.9231,35.6988,36.8350,37.6303,39.8886,41.3694,42.0664,43.5329,44.6213,45.6052,46.6185,47.7065,48.8199,49.8951,50.9229,51.9274,52.9482,53.9994,55.0466,56.1030,57.1499,58.1803,59.2021,60.2403,61.2961,62.3360,63.3680,64.4022,65.4337,66.4575,67.4634,68.4875,69.5246,70.5643,71.5911,72.5997,73.6020,74.6168,75.6427
Player33OnsetTimes,13.3621,15.4255,16.6318,17.7687,18.8292,19.9038,22.0787,23.4964,24.1615,25.0365,25.7881,27.6534,28.8230,29.5565,30.1927,32.1427,33.4702,34.2043,35.2943,36.2444,38.4377,40.0164,40.9178,42.1239,43.5329,44.5987,45.5935,46.6300,47.7400,48.8653,49.9262,50.9378,51.9274,52.9482,53.9994,55.0619,56.1185,57.1653,58.1955,59.2173,60.2566,61.3119,62.3514,63.3830,64.4022,65.4168,66.4417,67.4788,68.5181,69.5392,70.5643,71.5911,72.6156,73.6349,74.6507,75.6573
Player34OnsetTimes,13.3385,15.4014,16.6191,17.7817,18.8536,19.9164,22.0438,23.4506,24.1373,25.0832,25.8485,27.6534,28.7773,29.5074,30.1816,32.2013,33.5281,34.2157,35.2135,37.0798,38.2384,39.2052,40.2469,42.6402,43.8363,44.5281,45.3170,46.4128,47.7286,49.0184,50.0855,50.9829,51.8632,52.8515,53.9536,55.0947,56.1952,57.2227,58.1955,59.1858,60.2252,61.2961,62.3662,63.4139,64.4340,65.4337,66.4417,67.4634,68.5025,69.5392,70.5793,71.6065,72.6156,73.6183,74.6331,75.6573
Player35OnsetTimes,13.0251,15.6034,17.0572,18.0764,18.8292,20.5058,21.5779,22.5520,23.5723,24.6957,25.8831,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7741,39.5356,40.2215,42.1938,43.4398,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player36OnsetTimes,13.0368,15.6152,17.0572,18.0653,18.8173,20.5170,21.6014,22.5636,23.5723,24.6957,25.8831,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4514,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player37OnsetTimes,14.4355,15.4745,15.9016,18.0876,19.6648,20.4938,21.4258,22.3945,23.5246,24.7541,25.9637,27.1075,28.1508,29.2883,30.4286,31.6128,32.7769,33.9112,34.9824,37.3592,38.7163,39.5125,40.2332,42.2296,43.4514,44.4606,45.5483,46.7237,47.9022,48.9883,49.9583,50.9074,51.9120,52.9798,54.0785,55.1554,56.1799,57.1803,58.1955,59.2329,60.2880,61.3569,62.3970,63.4139,64.4340,65.4643,66.4878,67.5089,68.5330,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player38OnsetTimes,12.9673,15.5452,17.0443,18.0994,18.8536,20.5058,21.5662,22.5399,23.5723,24.7074,25.8947,27.0840,28.1872,29.3465,30.4753,31.6240,32.7656,33.8986,34.9824,37.3824,38.7503,39.5356,40.2469,42.2170,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9738,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player39OnsetTimes,12.9556,15.5333,17.0329,18.0994,18.8643,20.5170,21.5662,22.5282,23.5610,24.7074,25.9066,27.0963,28.1872,29.3346,30.4638,31.6240,32.7769,33.9112,34.9932,37.3704,38.7275,39.5125,40.2332,42.2296,43.4630,44.4830,45.5708,46.7353,47.9022,48.9883,49.9738,50.9378,51.9274,52.9798,54.0625,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player40OnsetTimes,13.1656,15.7446,17.0915,18.0069,18.7240,20.5058,21.6601,22.6332,23.5963,25.7167,26.8792,27.3190,28.0527,29.9814,31.1788,31.8333,32.4283,34.3095,35.6038,36.4680,38.2017,39.6047,40.6699,42.4695,43.3471,44.9647,46.0961,46.8642,47.6042,49.4872,50.6360,51.1826,51.6489,52.4693,53.6945,55.0947,56.3510,57.3578,58.1955,59.0605,60.0705,61.2063,62.3662,63.4612,64.4654,65.4168,66.3809,67.3897,68.4577,69.5392,70.5793,71.5911,72.5821,73.5856,74.6168,75.6573
Player41OnsetTimes,13.0251,15.6034,17.0572,18.0764,18.8292,20.5058,21.5779,22.5520,23.5723,24.6957,25.8831,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7741,39.5356,40.2215,42.1938,43.4398,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player42OnsetTimes,13.2932,15.3661,16.6191,17.8065,18.8763,19.9164,22.0211,23.4282,24.1373,25.1293,25.8947,27.6304,28.7194,29.4620,30.1816,32.2719,33.6106,34.2507,35.1335,36.9521,38.1669,39.2282,40.3280,42.6869,43.8242,44.4830,46.0733,47.1960,47.9657,48.6646,49.5576,50.7016,51.9587,53.1379,54.1712,55.0947,56.0247,57.0288,58.1193,59.2329,60.3205,61.3569,62.3514,63.3383,64.3712,65.4168,66.4575,67.4942,68.5181,69.5392,70.5479,71.5602,72.5821,73.6183,74.6507,75.6727
Player43OnsetTimes,13.0595,15.6387,17.0686,18.0534,18.7934,20.5058,21.6133,22.5868,23.5848,24.6837,25.8603,27.0591,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9738,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player44OnsetTimes,13.8984,15.4488,16.2608,17.3742,18.7003,20.0567,21.2333,22.5399,23.8351,24.9904,25.9986,26.9849,28.0175,29.2585,30.5210,31.7406,32.8588,33.9231,35.9781,37.1727,37.8173,39.6882,41.0812,41.9607,43.2059,44.4260,45.7069,46.9110,47.9918,48.9567,49.8793,50.8587,51.9274,53.0450,54.1394,55.1710,56.1646,57.1653,58.1955,59.2778,60.3513,61.3875,62.3970,63.3980,64.4189,65.4643,66.5196,67.5552,68.5648,69.5715,70.5793,71.6065,72.6482,73.6841,74.7011,75.7032
