Player8OnsetTimes,75.0389,77.6442,78.7033,79.2902,79.7304,80.9370,81.7489,82.5713,83.4062,84.1635,84.8192,85.6520,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player9OnsetTimes,75.3375,77.4162,78.2651,79.0234,79.7782,81.3676,82.1600,82.6645,83.2023,84.5776,85.3820,85.9074,86.3704,87.5481,88.3349,88.9600,89.5412,90.8535,91.5942,92.0283,92.4355,93.6249,94.4136,94.9285,95.3680,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player10OnsetTimes,75.2274,77.3047,78.2276,79.0704,79.8544,81.3842,82.1109,82.6180,83.1867,84.6257,85.4444,85.9395,86.3547,87.5019,88.3043,88.9600,89.5715,90.2279,90.9483,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player11OnsetTimes,76.8329,77.3526,77.8810,79.4622,80.4808,80.9527,81.4683,83.0589,84.0785,84.4688,84.7723,85.9395,86.8345,87.3930,87.8333,89.2563,90.1945,90.6188,90.8717,92.0283,92.9358,93.5160,93.9248,94.4948,95.2736,96.1411,96.9391,97.6045,98.1803,98.7645,99.4456,100.1885,100.9470,101.6719,102.3525,102.9962,103.6560,104.3388,105.0466,105.7513,106.4534,107.1407,107.8243,108.4991,109.1796,109.8777,110.5802,111.2690,111.9503,112.6441
Player12OnsetTimes,74.9774,77.5803,78.6884,79.3212,79.7617,80.9218,81.7181,82.5556,83.4062,84.1786,84.8351,85.6520,86.5170,87.3131,88.0087,88.8189,89.6490,90.4308,91.1226,91.8795,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0433,103.7350,104.4333,105.1244,105.7985,106.4694,107.1564,107.8557,108.5623,109.2589,109.9453,110.6353,111.3166,111.9977,112.6914
Player13OnsetTimes,75.3375,77.4162,78.2651,79.0234,79.7782,81.3676,82.1600,82.6645,83.2023,84.5776,85.3820,85.9074,86.3704,87.5481,88.3349,88.9600,89.5412,90.8535,91.5942,92.0283,92.4355,93.6249,94.4136,94.9285,95.3680,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player14OnsetTimes,75.1020,77.7075,78.7193,79.2588,79.6830,80.9370,81.7814,82.6025,83.4062,84.1459,84.8044,85.6520,86.5496,87.3460,88.0243,88.8039,89.6337,90.4148,91.1073,91.8795,92.6572,93.3906,94.0528,94.7583,95.4772,96.1888,96.8775,97.5408,98.2126,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
Player15OnsetTimes,75.3854,77.4645,78.2831,79.0084,79.7467,81.3676,82.1756,82.6799,83.2023,84.5463,85.3496,85.9074,86.4018,87.5936,88.3656,88.9600,89.5259,90.8378,91.5942,92.0283,92.4197,93.6094,94.4136,94.9285,95.3680,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player16OnsetTimes,75.8255,77.3841,77.8659,79.4154,80.4640,80.9840,81.5485,82.3367,83.3124,84.2443,84.9651,85.7328,86.5001,87.2355,87.9445,88.8039,89.6800,90.4615,91.1226,91.8618,92.6262,93.3594,94.0376,94.7583,95.4923,96.2053,96.8775,97.5260,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6752
Player17OnsetTimes,75.3537,77.4334,78.2651,79.0084,79.7617,81.3842,82.1914,82.6956,83.2023,84.5303,85.3349,85.8914,86.3862,87.5936,88.3821,88.9759,89.5259,90.8066,91.5614,92.0283,92.4510,93.6402,94.4293,94.9285,95.3524,95.9054,96.6421,97.4767,98.2913,98.9868,99.6034,100.2047,100.8521,101.5757,102.3215,103.0433,103.7350,104.4019,105.0612,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player18OnsetTimes,75.1644,77.2425,78.2116,79.1029,79.9011,81.4003,82.0953,82.5869,83.1703,84.6591,85.4925,85.9720,86.3547,87.4404,88.2414,88.9445,89.6019,90.2758,90.9793,91.8273,92.6882,93.4386,94.0682,94.7249,95.4314,96.1572,96.8618,97.5408,98.2126,98.8758,99.5563,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player19OnsetTimes,75.0556,77.6601,78.7033,79.2748,79.7151,80.9370,81.7651,82.5869,83.4062,84.1459,84.8044,85.6520,86.5496,87.3460,88.0243,88.8039,89.6337,90.4148,91.1073,91.8795,92.6572,93.3906,94.0528,94.7583,95.4772,96.1888,96.8775,97.5408,98.2126,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player20OnsetTimes,75.1644,77.2425,78.2116,79.1029,79.9011,81.4003,82.0953,82.5869,83.1703,84.6591,85.4925,85.9720,86.3547,87.4404,88.2414,88.9445,89.6019,90.2758,90.9793,91.8273,92.6882,93.4386,94.0682,94.7249,95.4314,96.1572,96.8618,97.5408,98.2126,98.8758,99.5563,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player21OnsetTimes,75.1485,77.7544,78.7351,79.2431,79.6526,80.9218,81.7971,82.6336,83.4216,84.1295,84.7723,85.6216,86.5333,87.3460,88.0402,88.8189,89.6337,90.3991,91.0906,91.8618,92.6572,93.3906,94.0528,94.7583,95.4772,96.1888,96.8775,97.5408,98.2126,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
Player22OnsetTimes,74.9774,77.5803,78.6884,79.3212,79.7617,80.9218,81.7181,82.5556,83.4062,84.1786,84.8351,85.6520,86.5170,87.3131,88.0087,88.8189,89.6490,90.4308,91.1226,91.8795,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0433,103.7350,104.4333,105.1244,105.7985,106.4694,107.1564,107.8557,108.5623,109.2589,109.9453,110.6353,111.3166,111.9977,112.6914
Player23OnsetTimes,75.1644,77.2425,78.2116,79.1029,79.9011,81.4003,82.0953,82.5869,83.1703,84.6591,85.4925,85.9720,86.3547,87.4404,88.2414,88.9445,89.6019,90.2758,90.9793,91.8273,92.6882,93.4386,94.0682,94.7249,95.4314,96.1572,96.8618,97.5408,98.2126,98.8758,99.5563,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player24OnsetTimes,76.0146,77.5803,77.9290,79.1967,80.1834,80.8449,81.8288,82.7112,83.4834,84.1295,84.7246,85.5741,86.5170,87.3615,88.0558,88.8189,89.6176,90.3846,91.0906,91.8795,92.6572,93.3749,94.0376,94.7583,95.4923,96.2053,96.8775,97.5260,98.1803,98.8603,99.5721,100.2961,100.9941,101.6719,102.3364,103.0130,103.7189,104.4333,105.1244,105.7985,106.4694,107.1564,107.8557,108.5460,109.2269,109.9111,110.6207,111.3166,111.9977,112.6752
Player25OnsetTimes,75.4012,77.4815,78.2831,78.9922,79.7304,81.3842,82.2086,82.7112,83.2023,84.4996,85.3033,85.8914,86.4189,87.6244,88.3821,88.9445,89.4944,90.8222,91.5942,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player26OnsetTimes,75.4483,77.5289,78.3025,78.9770,79.7003,81.3514,82.1914,82.7112,83.2186,84.5147,85.3033,85.8757,86.4018,87.6408,88.4140,88.9759,89.4944,90.7748,91.5457,92.0283,92.4667,93.0657,93.8294,94.7427,95.6023,96.2976,96.8775,97.4444,98.0872,98.8133,99.5721,100.3114,100.9941,101.6406,102.2889,102.9808,103.7037,104.4174,105.1088,105.7818,106.4534,107.1242,107.8243,108.5300,109.2269,109.9111,110.5962,111.2848,111.9814,112.6752
Player27OnsetTimes,75.6206,77.7075,78.3387,78.8806,80.2620,81.1598,81.5940,82.9167,83.8549,84.3563,84.9988,85.6858,86.4189,87.1724,87.9296,88.8189,89.6957,90.4615,91.0906,91.8103,92.5949,93.3594,94.0528,94.7740,95.4923,96.1888,96.8457,97.4920,98.1650,98.8603,99.5721,100.2961,100.9941,101.6719,102.3364,103.0130,103.7037,104.4019,105.0936,105.7818,106.4694,107.1564,107.8395,108.5300,109.2269,109.9281,110.6207,111.3007,111.9814,112.6752
Player28OnsetTimes,75.4012,77.4815,78.2831,78.9922,79.7304,81.3842,82.2086,82.7112,83.2023,84.4996,85.3033,85.8914,86.4189,87.6244,88.3821,88.9445,89.4944,90.8222,91.5942,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player29OnsetTimes,75.0707,77.6753,78.7193,79.2902,79.7151,80.9070,81.7337,82.5713,83.4062,84.1635,84.8192,85.6520,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player30OnsetTimes,75.1020,77.7075,78.7193,79.2588,79.6830,80.9370,81.7814,82.6025,83.4062,84.1459,84.8044,85.6520,86.5496,87.3460,88.0243,88.8039,89.6337,90.4148,91.1073,91.8795,92.6572,93.3906,94.0528,94.7583,95.4772,96.1888,96.8775,97.5408,98.2126,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
Player31OnsetTimes,75.4788,77.5633,78.3025,78.9455,79.6675,81.3842,82.2560,82.7589,83.2186,84.4530,85.2418,85.8591,86.4189,87.6725,88.4299,88.9600,89.4790,90.7913,91.5789,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0433,103.7189,104.3869,105.0612,105.7513,106.4534,107.1407,107.8243,108.5146,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player32OnsetTimes,75.3699,77.4486,78.2831,79.0084,79.7467,81.3676,82.1756,82.6799,83.2023,84.5463,85.3496,85.9074,86.4018,87.5936,88.3656,88.9600,89.5259,90.8378,91.5942,92.0283,92.4355,93.6249,94.4136,94.9285,95.3680,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player33OnsetTimes,75.1330,77.7388,78.7351,79.2588,79.6675,80.9218,81.7814,82.6180,83.4216,84.1459,84.7877,85.6367,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.4923,96.1888,96.8618,97.5260,98.1971,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
Player34OnsetTimes,75.3854,77.4645,78.2831,79.0084,79.7467,81.3676,82.1756,82.6799,83.2023,84.5463,85.3496,85.9074,86.4018,87.5936,88.3656,88.9600,89.5259,90.8378,91.5942,92.0283,92.4197,93.6094,94.4136,94.9285,95.3680,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player35OnsetTimes,75.0085,77.6280,78.7033,79.3062,79.7467,80.9370,81.7489,82.5713,83.4062,84.1635,84.8192,85.6520,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player36OnsetTimes,75.4012,77.4815,78.2831,78.9922,79.7304,81.3842,82.2086,82.7112,83.2023,84.4996,85.3033,85.8914,86.4189,87.6244,88.3821,88.9445,89.4944,90.8222,91.5942,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player37OnsetTimes,75.7629,77.3208,77.8509,79.4932,80.5414,81.0000,81.4524,82.9948,84.0303,84.4688,84.8516,86.0356,86.8827,87.3774,88.2112,88.9445,89.6019,90.2606,90.9483,91.8103,92.6727,93.4232,94.0528,94.7249,95.4314,96.1411,96.8306,97.5087,98.1803,98.8603,99.5563,100.2527,100.9470,101.6406,102.3364,103.0277,103.7189,104.4019,105.0781,105.7513,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5962,111.3007,111.9977,112.6752
Player38OnsetTimes,75.2430,77.3208,78.2276,79.0553,79.8394,81.4003,82.1431,82.6336,83.1867,84.5932,85.4136,85.9395,86.3862,87.5330,88.3195,88.9600,89.5563,90.2123,90.9483,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player39OnsetTimes,75.2585,77.3364,78.2430,79.0553,79.8244,81.3842,82.1431,82.6492,83.2023,84.5932,85.3980,85.9240,86.3704,87.5330,88.3195,88.9600,89.5563,90.2123,90.9483,91.8450,92.7188,93.4542,94.0528,94.7080,95.4158,96.1572,96.8775,97.5574,98.2126,98.8603,99.5410,100.2527,100.9619,101.6567,102.3525,103.0277,103.7037,104.3869,105.0781,105.7818,106.4843,107.1710,107.8557,108.5300,109.2116,109.9111,110.6207,111.3166,111.9977,112.6752
Player40OnsetTimes,75.4328,77.5140,78.2831,78.9620,79.7003,81.3842,82.2244,82.7271,83.2186,84.4841,85.2733,85.8757,86.4189,87.6573,88.4140,88.9600,89.4790,90.7913,91.5789,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player41OnsetTimes,76.2482,77.2890,77.8195,79.4932,80.5729,81.0323,81.6250,82.3687,83.2811,84.1786,84.9165,85.7328,86.5333,87.2512,87.9296,88.7705,89.6648,90.4615,91.1226,91.8450,92.6104,93.3594,94.0528,94.7740,95.4923,96.1888,96.8618,97.5260,98.1971,98.8758,99.5721,100.2793,100.9771,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1564,107.8395,108.5300,109.2269,109.9281,110.6353,111.3166,111.9977,112.6752
Player42OnsetTimes,76.3737,77.4162,77.9450,79.4311,80.4172,80.9070,81.5322,82.3687,83.3440,84.2443,84.9483,85.7173,86.5001,87.2355,87.9445,88.8039,89.6800,90.4615,91.1073,91.8273,92.5949,93.3594,94.0528,94.7740,95.4923,96.1888,96.8618,97.5260,98.1971,98.8758,99.5721,100.2793,100.9771,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1564,107.8395,108.5300,109.2269,109.9281,110.6353,111.3166,111.9814,112.6593
Player43OnsetTimes,76.9111,77.4334,77.9606,79.4154,80.3703,80.8761,81.5485,82.4002,83.3597,84.2279,84.9165,85.6858,86.4852,87.2355,87.9445,88.8039,89.6800,90.4615,91.1073,91.8273,92.5949,93.3437,94.0376,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9771,101.6567,102.3364,103.0277,103.7189,104.4019,105.0936,105.7818,106.4694,107.1564,107.8395,108.5300,109.2269,109.9281,110.6207,111.3007,111.9814,112.6752
Player44OnsetTimes,75.9984,77.5633,77.9290,79.2119,80.1989,80.8603,81.8130,82.6799,83.4531,84.1295,84.7401,85.5895,86.5170,87.3460,88.0402,88.8189,89.6337,90.3991,91.0906,91.8618,92.6416,93.3749,94.0376,94.7583,95.4923,96.2053,96.8775,97.5260,98.1803,98.8603,99.5721,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2269,109.9111,110.6207,111.3166,111.9977,112.6752
Player45OnsetTimes,75.4012,77.4815,78.2831,78.9922,79.7304,81.3842,82.2086,82.7112,83.2023,84.4996,85.3033,85.8914,86.4189,87.6244,88.3821,88.9445,89.4944,90.8222,91.5942,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player46OnsetTimes,75.6206,77.7075,78.3387,78.8806,80.2620,81.1598,81.5940,82.9167,83.8549,84.3563,84.9988,85.6858,86.4189,87.1724,87.9296,88.8189,89.6957,90.4615,91.0906,91.8103,92.5949,93.3594,94.0528,94.7740,95.4923,96.1888,96.8457,97.4920,98.1650,98.8603,99.5721,100.2961,100.9941,101.6719,102.3364,103.0130,103.7037,104.4019,105.0936,105.7818,106.4694,107.1564,107.8395,108.5300,109.2269,109.9281,110.6207,111.3007,111.9814,112.6752
Player47OnsetTimes,75.3375,77.4162,78.2651,79.0234,79.7782,81.3676,82.1600,82.6645,83.2023,84.5776,85.3820,85.9074,86.3704,87.5481,88.3349,88.9600,89.5412,90.8535,91.5942,92.0283,92.4355,93.6249,94.4136,94.9285,95.3680,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player48OnsetTimes,75.3218,77.4005,78.2651,79.0234,79.7782,81.3676,82.1600,82.6645,83.2023,84.5776,85.3820,85.9074,86.3704,87.5481,88.3349,88.9600,89.5412,90.8535,91.5942,92.0283,92.4355,93.6249,94.4136,94.9285,95.3680,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player49OnsetTimes,75.1020,77.7075,78.7193,79.2588,79.6830,80.9370,81.7814,82.6025,83.4062,84.1459,84.8044,85.6520,86.5496,87.3460,88.0243,88.8039,89.6337,90.4148,91.1073,91.8795,92.6572,93.3906,94.0528,94.7583,95.4772,96.1888,96.8775,97.5408,98.2126,98.8911,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,111.9977,112.6914
