Player23OnsetTimes,32.2737,34.8841,36.3180,37.1910,37.8177,39.4844,40.6452,42.8029,44.1049,44.7784,46.3474,47.5396,48.5945,50.5336,51.8480,52.7305,53.5061,54.5565,57.0997,58.4061,59.0290,60.3583,61.3821,62.3154,63.2447,64.2953,65.4154,66.5271,67.5535,68.5150,69.4594,70.4431,71.4743,72.5096,73.5377,74.5377,75.5312,76.5306,77.5549,78.5907,79.6176,80.6304,81.6310,82.6327,83.6445,84.6601,85.6857,86.7106
Player24OnsetTimes,32.5941,34.6931,35.8919,36.9030,37.8330,39.9287,41.0927,41.8494,43.8160,45.1748,46.1788,47.0908,49.4565,50.7639,51.4600,52.8873,53.9343,54.8628,56.7818,57.8629,58.7070,59.7743,61.0427,62.4095,63.6126,64.6173,65.4816,66.3724,67.3695,68.4534,69.5372,70.5656,71.5364,72.4942,73.4914,74.5221,75.5615,76.5921,77.6011,78.5907,79.5868,80.6153,81.6475,82.6644,83.6835,84.6910,85.7002,86.7106
Player25OnsetTimes,32.2890,34.8984,36.3180,37.1760,37.8022,39.4694,40.6452,42.8181,44.1198,44.7784,46.3316,47.5250,48.5945,50.5489,51.8646,52.7305,53.4884,54.5239,57.0839,58.4210,59.0444,60.3734,61.3821,62.3002,63.2294,64.2953,65.4315,66.5423,67.5681,68.5150,69.4436,70.4274,71.4586,72.5096,73.5531,74.5533,75.5312,76.5306,77.5549,78.5907,79.6176,80.6304,81.6310,82.6327,83.6445,84.6601,85.6857,86.7106
Player26OnsetTimes,32.2142,34.8184,36.2871,37.2057,37.8479,39.4844,40.6300,42.7875,44.1049,44.7936,46.3625,47.5396,48.5780,50.5183,51.8480,52.7462,53.5229,54.5565,57.0839,58.3895,59.0290,60.3884,61.4125,62.3154,63.2294,64.2802,65.4154,66.5423,67.5681,68.5150,69.4436,70.4274,71.4586,72.5096,73.5531,74.5533,75.5312,76.5306,77.5549,78.5907,79.6176,80.6304,81.6310,82.6327,83.6445,84.6758,85.7002,86.7106
Player27OnsetTimes,32.5174,34.5998,35.8471,36.9340,37.9070,39.9444,41.0469,41.7887,43.8160,45.2201,46.2256,47.1055,49.4104,50.7023,51.4291,52.9579,54.0273,54.9077,56.7051,57.7572,58.6567,59.8053,61.1045,62.4409,63.5974,64.5715,65.4480,66.3724,67.3850,68.4684,69.5527,70.5888,71.5515,72.4942,73.4757,74.5074,75.5615,76.5921,77.6011,78.5907,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player28OnsetTimes,32.1996,34.8037,36.2871,37.2206,37.8621,39.4694,40.5999,42.7723,44.1198,44.8097,46.3625,47.5250,48.5636,50.5336,51.8797,52.7624,53.5061,54.5239,57.0839,58.4210,59.0444,60.3734,61.3821,62.3002,63.2447,64.3106,65.4315,66.5271,67.5535,68.5150,69.4594,70.4431,71.4743,72.5096,73.5377,74.5377,75.5312,76.5306,77.5549,78.5907,79.6176,80.6304,81.6310,82.6327,83.6445,84.6758,85.7167,86.7261
Player29OnsetTimes,32.2142,34.8184,36.2871,37.2057,37.8479,39.4844,40.6300,42.7875,44.1049,44.7936,46.3625,47.5396,48.5780,50.5183,51.8480,52.7462,53.5229,54.5565,57.0839,58.3895,59.0290,60.3884,61.4125,62.3154,63.2294,64.2802,65.4154,66.5423,67.5681,68.5150,69.4436,70.4274,71.4586,72.5096,73.5531,74.5533,75.5312,76.5306,77.5549,78.5907,79.6176,80.6304,81.6310,82.6327,83.6445,84.6758,85.7002,86.7106
Player30OnsetTimes,32.9123,34.4760,35.4532,36.6146,37.8621,39.1178,41.3984,42.7562,43.5335,44.9607,46.1788,47.2454,48.4385,49.6425,51.0856,52.6391,53.9960,55.1324,56.0838,57.9236,59.3082,60.3583,61.2131,62.1751,63.2756,64.4643,65.6065,66.6347,67.5681,68.4836,69.4436,70.4739,71.5364,72.5850,73.5996,74.5849,75.5615,76.5612,77.5856,78.6232,79.6491,80.6624,81.6631,82.6800,83.6981,84.7220,85.7472,86.7648
Player31OnsetTimes,33.2594,34.8184,35.5203,36.4292,37.6250,39.0082,41.6315,43.0670,43.6711,44.6263,46.8382,48.1364,48.8467,49.9030,51.0366,52.3783,53.7379,55.0399,56.1454,58.0798,59.3856,60.3131,61.0881,62.0638,63.2294,64.4795,65.6387,66.6347,67.5219,68.4232,69.3978,70.4588,71.5364,72.5850,73.5838,74.5533,75.5312,76.5306,77.5699,78.6072,79.6338,80.6466,81.6475,82.6483,83.6683,84.6910,85.7167,86.7261
Player32OnsetTimes,32.3807,34.4760,35.8321,37.0111,37.9982,39.9287,40.9718,42.4754,43.5484,44.4629,46.8530,48.2765,48.9740,49.8420,51.9265,53.3020,54.0118,54.6342,56.4389,57.6806,58.7713,59.9758,61.1985,62.4095,63.4912,64.4943,65.4480,66.4196,67.4303,68.4684,69.5064,70.5197,71.5214,72.5096,73.5066,74.5221,75.5463,76.5612,77.5699,78.5907,79.6176,80.6304,81.6475,82.6644,83.6835,84.6910,85.7002,86.7106
Player33OnsetTimes,32.2142,34.8184,36.2871,37.2057,37.8479,39.4844,40.6300,42.7875,44.1049,44.7936,46.3625,47.5396,48.5780,50.5183,51.8480,52.7462,53.5229,54.5565,57.0839,58.3895,59.0290,60.3884,61.4125,62.3154,63.2294,64.2802,65.4154,66.5423,67.5681,68.5150,69.4436,70.4274,71.4586,72.5096,73.5531,74.5533,75.5312,76.5306,77.5549,78.5907,79.6176,80.6304,81.6310,82.6327,83.6445,84.6758,85.7002,86.7106
Player34OnsetTimes,32.2586,34.8671,36.3033,37.1910,37.8330,39.4996,40.6452,42.7723,44.0899,44.7784,46.3771,47.5717,48.6100,50.4878,51.7853,52.6995,53.5229,54.5881,57.1153,58.4061,59.0053,60.3433,61.3821,62.3154,63.2447,64.2953,65.4154,66.5271,67.5681,68.5302,69.4594,70.4274,71.4586,72.5096,73.5531,74.5533,75.5312,76.5306,77.5549,78.5907,79.6176,80.6304,81.6310,82.6327,83.6445,84.6758,85.7002,86.7106
Player35OnsetTimes,33.2594,34.8184,35.5203,36.4292,37.6250,39.0082,41.6315,43.0670,43.6711,44.6263,46.8382,48.1364,48.8467,49.9030,51.0366,52.3783,53.7379,55.0399,56.1454,58.0798,59.3856,60.3131,61.0881,62.0638,63.2294,64.4795,65.6387,66.6347,67.5219,68.4232,69.3978,70.4588,71.5364,72.5850,73.5838,74.5533,75.5312,76.5306,77.5699,78.6072,79.6338,80.6466,81.6475,82.6483,83.6683,84.6910,85.7167,86.7261
Player36OnsetTimes,32.3035,34.9151,36.3180,37.1760,37.8022,39.4694,40.6452,42.8029,44.1049,44.7784,46.3474,47.5396,48.5945,50.5336,51.8480,52.7305,53.5061,54.5565,57.0997,58.4061,59.0290,60.3583,61.3821,62.3154,63.2447,64.2953,65.4154,66.5271,67.5535,68.5150,69.4594,70.4431,71.4743,72.5096,73.5377,74.5377,75.5312,76.5306,77.5549,78.5760,79.6020,80.6153,81.6310,82.6483,83.6683,84.6758,85.6857,86.6952
Player37OnsetTimes,32.9123,34.4760,35.4532,36.6146,37.8621,39.1178,41.3984,42.7562,43.5335,44.9607,46.1788,47.2454,48.4385,49.6425,51.0856,52.6391,53.9960,55.1324,56.0838,57.9236,59.3082,60.3583,61.2131,62.1751,63.2756,64.4643,65.6065,66.6347,67.5681,68.4836,69.4436,70.4739,71.5364,72.5850,73.5996,74.5849,75.5615,76.5612,77.5856,78.6232,79.6491,80.6624,81.6631,82.6800,83.6981,84.7220,85.7472,86.7648
Player38OnsetTimes,32.4563,34.5391,35.8321,36.9650,37.9525,39.9593,41.0313,41.7581,43.8160,45.2513,46.2560,47.1055,49.3627,50.6537,51.4291,53.0197,54.1045,54.9394,56.6118,57.6335,58.5924,59.8206,61.1685,62.5015,63.6126,64.5566,65.4315,66.3570,67.3850,68.4836,69.5685,70.5888,71.5515,72.4942,73.4757,74.5074,75.5615,76.5921,77.6011,78.5907,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player39OnsetTimes,33.5164,34.5548,35.0733,37.2811,38.8066,39.5754,40.4572,42.4603,43.8970,44.8097,46.6798,47.8446,48.6551,50.1332,51.3961,52.5628,53.6614,54.8328,55.9921,58.2042,59.6187,60.4513,61.0574,62.7769,63.9525,64.6782,65.2918,66.1097,67.2176,68.4684,69.6608,70.6659,71.5364,72.4112,73.3856,74.4611,75.5615,76.6228,77.6158,78.5760,79.5560,80.5771,81.6143,82.6483,83.6835,84.6910,85.7002,86.6952
Player40OnsetTimes,32.4412,34.5240,35.8321,36.9650,37.9525,39.9593,41.0313,41.7581,43.8160,45.2513,46.2560,47.1055,49.3627,50.6537,51.4291,53.0197,54.1045,54.9394,56.6271,57.6498,58.6070,59.8356,61.1834,62.5015,63.5974,64.5410,65.4154,66.3570,67.3999,68.4996,69.5685,70.5656,71.5214,72.4791,73.4757,74.5221,75.5765,76.6072,77.6011,78.5907,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player41OnsetTimes,32.4262,34.5090,35.8321,36.9799,37.9672,39.9444,41.0011,41.7429,43.8324,45.2811,46.2711,47.1055,49.3469,50.6395,51.4117,53.0197,54.1045,54.9394,56.6271,57.6498,58.6070,59.8356,61.1834,62.5015,63.5974,64.5410,65.4154,66.3570,67.3999,68.4996,69.5685,70.5656,71.5214,72.4791,73.4914,74.5377,75.5765,76.5921,77.5856,78.5760,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player42OnsetTimes,33.3356,34.8984,35.5510,36.3980,37.5759,40.3764,41.7250,42.1598,43.1971,45.4499,46.8979,47.6023,48.8948,49.8094,51.9893,53.3934,54.0585,54.6033,56.3166,57.5716,58.7386,60.0064,61.2442,62.4247,63.4605,64.4325,65.4002,66.4030,67.4451,68.4996,69.5212,70.5197,71.5056,72.4942,73.5066,74.5221,75.5463,76.5612,77.5699,78.5760,79.5868,80.6153,81.6475,82.6644,83.6835,84.6910,85.7002,86.7106
Player43OnsetTimes,33.3356,34.8984,35.5510,36.3980,37.5759,40.3764,41.7250,42.1598,43.1971,45.4499,46.8979,47.6023,48.8948,49.8094,51.9893,53.3934,54.0585,54.6033,56.3166,57.5716,58.7386,60.0064,61.2442,62.4247,63.4605,64.4325,65.4002,66.4030,67.4451,68.4996,69.5212,70.5197,71.5056,72.4942,73.5066,74.5221,75.5463,76.5612,77.5699,78.5760,79.5868,80.6153,81.6475,82.6644,83.6835,84.6910,85.7002,86.7106
Player44OnsetTimes,32.2439,34.8501,36.3033,37.2057,37.8479,39.4844,40.6300,42.7875,44.1049,44.7936,46.3625,47.5396,48.5780,50.5183,51.8480,52.7462,53.5229,54.5565,57.0839,58.3895,59.0053,60.3583,61.3971,62.3311,63.2591,64.2953,65.4154,66.5271,67.5535,68.5150,69.4594,70.4431,71.4743,72.5096,73.5377,74.5377,75.5312,76.5306,77.5549,78.5907,79.6176,80.6304,81.6310,82.6327,83.6445,84.6758,85.7002,86.7106
Player45OnsetTimes,32.5485,34.6469,35.8773,36.9188,37.8621,39.9287,41.0624,41.8193,43.8324,45.2201,46.2102,47.0908,49.4104,50.7173,51.4450,52.9414,54.0118,54.9077,56.7205,57.7726,58.6567,59.7894,61.0881,62.4409,63.6126,64.5861,65.4670,66.3724,67.3695,68.4534,69.5372,70.5656,71.5515,72.5096,73.4914,74.5074,75.5463,76.5770,77.6011,78.6072,79.6020,80.6153,81.6310,82.6483,83.6835,84.7063,85.7167,86.7261
Player46OnsetTimes,33.7147,34.7726,35.1507,37.0259,38.4978,39.4391,40.7728,41.8802,44.2901,45.6217,46.2711,47.4134,48.5177,50.6097,51.9732,52.7937,53.4562,55.4314,56.7363,57.4013,59.1214,60.5134,61.4603,62.2689,63.1365,64.2174,65.4154,66.5734,67.5991,68.5150,69.4288,70.3967,71.4435,72.5096,73.5531,74.5533,75.5312,76.5141,77.5239,78.5605,79.6020,80.6304,81.6475,82.6483,83.6445,84.6449,85.6700,86.7106
Player47OnsetTimes,32.4412,34.5240,35.8321,36.9650,37.9525,39.9593,41.0313,41.7581,43.8160,45.2513,46.2560,47.1055,49.3627,50.6537,51.4291,53.0197,54.1045,54.9394,56.6271,57.6498,58.6070,59.8356,61.1834,62.5015,63.5974,64.5410,65.4154,66.3570,67.3999,68.4996,69.5685,70.5656,71.5214,72.4791,73.4757,74.5221,75.5765,76.6072,77.6011,78.5907,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player48OnsetTimes,32.4563,34.5391,35.8321,36.9650,37.9525,39.9593,41.0313,41.7581,43.8160,45.2513,46.2560,47.1055,49.3627,50.6537,51.4291,53.0197,54.1045,54.9394,56.6118,57.6335,58.5924,59.8206,61.1685,62.5015,63.6126,64.5566,65.4315,66.3570,67.3850,68.4836,69.5685,70.5888,71.5515,72.4942,73.4757,74.5074,75.5615,76.5921,77.6011,78.5907,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player49OnsetTimes,32.5792,34.6774,35.8773,36.9030,37.8479,39.9287,41.0773,41.8343,43.8324,45.2054,46.1942,47.0751,49.4255,50.7324,51.4450,52.9414,54.0118,54.9077,56.7205,57.7726,58.6567,59.7894,61.0881,62.4409,63.6126,64.5861,65.4480,66.3570,67.3695,68.4534,69.5372,70.5656,71.5515,72.5096,73.4914,74.5074,75.5463,76.5770,77.6011,78.6072,79.6020,80.6153,81.6310,82.6483,83.6835,84.7063,85.7167,86.7261
Player50OnsetTimes,32.4412,34.5240,35.8321,36.9650,37.9525,39.9593,41.0313,41.7581,43.8160,45.2513,46.2560,47.1055,49.3627,50.6537,51.4291,53.0197,54.1045,54.9394,56.6271,57.6498,58.6070,59.8356,61.1834,62.5015,63.5974,64.5410,65.4154,66.3570,67.3999,68.4996,69.5685,70.5656,71.5214,72.4791,73.4757,74.5221,75.5765,76.6072,77.6011,78.5907,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player51OnsetTimes,33.7147,34.7726,35.1507,37.0259,38.4978,39.4391,40.7728,41.8802,43.0823,44.4169,45.9492,47.4134,48.7861,49.8571,51.0526,52.4392,53.8140,55.1017,56.1770,58.0487,59.3550,60.3286,61.1529,62.1417,63.2756,64.4943,65.6387,66.6347,67.5375,68.4534,69.4436,70.5046,71.5824,72.6167,73.5996,74.5533,75.5312,76.5612,77.6158,78.6541,79.6639,80.6624,81.6631,82.6800,83.6981,84.7220,85.7472,86.7648
Player52OnsetTimes,32.3807,34.4760,35.8321,37.0111,37.9982,39.9287,40.9718,41.7250,43.8805,45.3427,46.3019,47.0908,49.2851,50.5940,51.4117,52.2534,54.4444,55.8489,56.4554,57.1963,59.3397,60.8951,61.7084,62.2521,62.9533,64.0490,65.3839,66.6807,67.7383,68.5931,69.3978,70.3187,71.3819,72.5096,73.5996,74.6152,75.5615,76.5141,77.5087,78.5450,79.6020,80.6466,81.6631,82.6644,83.6683,84.6758,85.6857,86.6952
