Player8OnsetTimes,12.6380,15.2196,16.5822,17.4575,18.1386,19.8385,20.9850,22.1791,23.4751,24.7661,26.2627,27.6756,28.8566,30.0388,31.2687,33.7048,35.1044,35.7055,36.5796,38.9236,40.3110,41.0085,42.5400,43.6904,45.5817,46.8003,47.6768,49.4662,50.7286,52.5561,53.5546,55.1041,56.1497,58.0277,59.2100,60.0213,61.9926,63.3495,64.3667,66.2128,67.4854,68.3577,70.2112,71.5006,72.4744,73.3881,74.4994,75.7245,77.0029,78.1918,79.3262,80.3947,82.6655,83.9764,84.5318,85.4518,87.4102,88.6275,89.3763,90.0490,90.9477,92.1292,93.3910,94.5365,95.5073,96.3824,97.2858,98.2917,99.3860,100.5045,101.5730,102.5592,103.5174,104.4953,105.5204,106.5887,107.6392,108.6646
Player9OnsetTimes,12.7100,14.7774,16.0951,17.2943,18.3300,20.2856,21.2938,22.1791,24.3199,25.6105,26.4879,28.0656,29.0692,30.8416,31.8897,33.0970,34.0026,36.0193,37.2278,38.1496,39.9156,41.1471,42.1809,44.2142,45.3919,46.2073,48.1911,49.4971,50.3665,52.1461,53.3985,54.4496,56.7616,58.1646,58.8958,60.2960,61.5110,62.6701,65.3651,66.7745,67.3294,68.2356,70.3054,71.6706,72.5683,73.3381,75.3683,76.6159,77.2368,78.2557,79.1830,81.1750,82.3808,83.0840,84.5474,85.6264,87.4854,88.5495,89.2054,90.5996,91.6021,92.3443,93.0940,94.0545,95.1924,96.3824,97.4874,98.4604,99.3860,100.3436,101.3723,102.4409,103.5174,104.5601,105.5533,106.5401,107.5423,108.5635
Player10OnsetTimes,13.6238,15.1719,15.8124,16.7128,17.9463,20.7329,22.0250,22.5764,23.6403,25.6105,26.9687,27.7466,29.0226,30.1218,31.1972,33.4303,34.8426,35.6116,36.8046,38.0198,40.3931,41.7279,42.4099,43.6090,45.6282,46.8776,47.6927,49.3185,50.5403,52.5242,53.6328,54.3994,56.3401,57.7630,58.7776,60.7427,62.0398,62.8556,64.7683,66.0307,67.0070,68.9661,70.2270,71.0546,72.9299,74.1579,74.9034,76.1739,77.1278,77.9595,79.9670,81.1750,81.7976,83.1752,84.3322,85.3414,87.5150,88.7992,89.4382,89.9551,90.7834,92.0026,93.3602,94.5686,95.5381,96.3675,97.2252,98.2170,99.3393,100.4716,101.5400,102.5432,103.5027,104.4802,105.4902,106.5401,107.5931,108.6341
Player11OnsetTimes,12.7554,14.8247,16.1071,17.2709,18.2945,20.2738,21.3055,22.1905,24.3078,25.5869,26.4754,28.0900,29.1040,29.9693,32.0205,33.2616,34.0866,35.8841,37.0400,38.0674,40.1131,41.4089,42.2975,43.9753,45.0770,46.0839,48.5390,49.9535,50.5726,51.6767,53.8867,55.2906,56.0862,57.6516,58.8637,59.9288,62.3898,63.8138,64.5231,65.6782,66.8375,69.3318,70.7264,71.2987,72.4744,73.5150,74.5957,75.7095,76.8942,78.0681,79.2617,80.4106,81.5774,82.8538,84.1949,85.4677,86.7022,87.9241,89.1903,90.3989,91.4760,92.4199,93.3305,94.2740,95.3023,96.3824,97.4565,98.4914,99.4851,100.4716,101.4784,102.5033,103.5486,104.5906,105.6143,106.6210,107.6243,108.6341
Player12OnsetTimes,13.0006,15.0653,16.1750,17.1649,18.1386,20.2622,21.4043,22.2967,24.2706,25.4704,26.3800,28.1494,29.2214,30.0388,31.9024,33.0970,34.0026,36.0193,37.2278,38.1496,39.9274,41.1586,42.1809,44.2142,45.4075,46.2393,48.2060,49.4971,50.3665,52.1461,53.3985,54.4666,56.7775,58.1646,58.8796,60.2810,61.5110,62.6701,65.3817,66.8052,67.3455,68.2047,70.2430,71.6410,72.5842,73.3881,75.4138,76.6320,77.2219,78.2241,79.1673,81.2048,82.4251,83.1141,84.5163,85.5781,87.5005,88.5963,89.2370,90.5692,91.5391,92.3141,93.1089,94.0869,95.2233,96.3824,97.4565,98.4447,99.3860,100.3595,101.3993,102.4573,103.5027,104.5284,105.5385,106.5401,107.5586,108.5790
Player13OnsetTimes,12.7715,14.8497,16.1252,17.2709,18.2835,20.2622,21.3055,22.2024,24.3199,25.5988,26.4754,28.0656,29.0692,30.8416,31.8897,33.0970,34.0026,36.0193,37.2278,38.1496,39.9156,41.1471,42.1809,44.2142,45.3919,46.2073,48.1911,49.4971,50.3665,52.1138,53.3672,54.4496,56.7930,58.1952,58.8958,60.2491,61.4628,62.6551,64.0475,65.4674,66.9754,68.4034,69.7264,70.9930,72.3310,73.6507,74.8882,75.9402,76.9564,78.0051,79.1830,80.4106,81.6700,82.9899,84.3009,85.5148,86.7022,87.9241,89.2210,90.4605,91.5391,92.4817,93.3761,94.3058,95.3391,96.4275,97.5026,98.5367,99.5329,100.5209,101.5245,102.5432,103.5791,104.6204,105.6451,106.6519,107.6553,108.6646
Player14OnsetTimes,12.6865,14.7541,16.0830,17.3058,18.3531,20.2856,21.2818,22.1669,24.3315,25.6420,26.5125,28.0416,29.0226,30.8179,31.9024,32.5238,34.3360,35.7652,36.7345,38.9586,40.2146,40.8584,42.4748,43.7062,44.6872,47.0690,48.5876,49.2875,50.4603,52.5086,53.6810,54.4666,56.3552,57.7318,58.7471,60.7752,62.1026,62.9019,64.7364,65.9829,66.9754,69.0262,70.3212,71.1152,72.8822,74.0645,74.8568,75.5694,77.5412,78.8115,79.5197,80.7059,81.6700,83.7536,85.0065,85.6100,86.8316,87.9088,89.0483,90.2255,91.3426,92.3748,93.3305,94.2740,95.2693,96.3056,97.3634,98.4138,99.4344,100.4397,101.4474,102.4729,103.5027,104.5284,105.5533,106.5715,107.5931,108.6139
Player15OnsetTimes,13.0592,15.1236,16.1868,17.1297,18.0908,20.2622,21.4418,22.3315,24.2469,25.4239,26.3568,28.1965,29.2927,30.0738,31.8423,33.0050,33.9559,36.1168,37.3711,38.2203,39.7870,40.9622,42.0838,44.4008,45.6584,46.3493,47.9430,49.1440,50.1891,52.4620,53.8386,54.6693,56.3401,57.5713,59.6280,60.7583,61.4467,63.0736,64.4613,65.5823,67.9849,69.3165,69.8802,71.0386,72.2359,73.4675,74.7328,75.8931,76.9874,78.0367,79.1673,80.3486,81.5927,82.9292,84.2708,85.5000,86.6862,87.8915,89.1747,90.4144,91.4917,92.4353,93.3305,94.2740,95.3023,96.3824,97.4565,98.4914,99.5008,100.4885,101.4784,102.5033,103.5486,104.5906,105.6143,106.6210,107.6243,108.6489
Player16OnsetTimes,12.5806,15.1588,16.5705,17.4920,18.1749,19.8268,20.9493,22.1552,23.4751,24.7777,26.2746,27.6756,28.8448,30.0276,31.2687,33.7048,35.1044,35.7055,36.5796,38.9236,40.3110,41.0085,42.5400,43.6904,45.5817,46.8003,47.6768,49.4662,50.7286,52.5561,53.5546,55.1041,56.1497,58.0277,59.2100,60.0213,62.0081,63.3650,64.3667,66.1964,67.4854,68.3726,70.2270,71.5162,72.4744,73.3881,74.4994,75.7245,77.0029,78.1918,79.3262,80.3947,82.6655,83.9764,84.5474,85.4677,87.3946,88.6121,89.3600,90.0490,90.9627,92.1450,93.4069,94.5365,95.4931,96.3675,97.2858,98.3079,99.4193,100.5209,101.5562,102.5432,103.5174,104.5119,105.5385,106.5887,107.6392,108.6646
Player17OnsetTimes,13.4008,14.9554,15.7650,16.8288,18.1026,19.4105,21.7617,23.2816,24.0218,25.0033,26.0979,27.3323,28.6214,30.0501,31.4370,32.6447,33.9077,35.2814,36.5909,38.0915,39.4833,40.8015,42.1976,43.5261,44.7643,46.1456,47.6605,49.0826,50.4130,51.6767,54.2785,55.7598,56.3552,57.3798,59.5519,60.8915,61.6920,63.2721,64.5547,65.5980,67.9849,69.3626,69.9899,71.2217,72.3951,73.5621,74.7784,75.9246,77.0483,78.1302,79.2764,80.4414,81.6545,82.9747,84.3171,85.5626,86.7669,87.9711,89.2523,90.4764,91.5391,92.4817,93.3910,94.3512,95.3849,96.4586,97.5177,98.5367,99.5329,100.5362,101.5562,102.5902,103.6347,104.6507,105.6451,106.6519,107.6711,108.6958
Player18OnsetTimes,12.7837,14.8616,16.1252,17.2709,18.2835,20.2622,21.3055,22.2024,24.3199,25.5869,26.4627,28.0771,29.0923,29.9693,32.0446,33.2863,34.0866,35.8365,36.9924,38.0559,40.1796,41.4888,42.3291,43.8809,44.9564,47.0864,48.3953,49.0668,50.5084,51.6935,53.9814,55.3685,56.1026,57.5564,58.7471,59.8973,62.5457,64.0007,64.6024,65.4830,67.6636,69.0564,69.8484,71.3934,72.6152,73.5934,74.5790,75.6317,76.8337,78.0681,79.3105,80.4569,81.5927,82.8372,84.1645,85.4518,86.7022,87.9397,89.2054,90.3989,91.4519,92.4045,93.3305,94.2906,95.3234,96.3976,97.4565,98.4761,99.4665,100.4551,101.4784,102.5273,103.5639,104.5906,105.5990,106.6052,107.6243,108.6489
Player19OnsetTimes,12.7837,14.8616,16.1252,17.2709,18.2835,20.2622,21.3055,22.2024,24.3199,25.5869,26.4627,28.0771,29.0923,29.9693,32.0446,33.2863,34.0866,35.8365,36.9924,38.0559,40.1796,41.4888,42.3291,43.8809,44.9564,47.0864,48.3953,49.0668,50.5084,51.6935,53.9814,55.3685,56.1026,57.5564,58.7471,59.8973,62.5457,64.0007,64.6024,65.4830,67.6636,69.0564,69.8484,71.3934,72.6152,73.5934,74.5790,75.6317,76.8337,78.0681,79.3105,80.4569,81.5927,82.8372,84.1645,85.4518,86.7022,87.9397,89.2054,90.3989,91.4519,92.4045,93.3305,94.2906,95.3234,96.3976,97.4565,98.4761,99.4665,100.4551,101.4784,102.5273,103.5639,104.5906,105.5990,106.6052,107.6243,108.6489
Player20OnsetTimes,13.1530,15.2196,16.2109,17.0819,18.0324,20.2738,21.4912,22.3787,24.2225,25.3664,26.3096,28.2320,29.3527,30.1101,31.7809,32.9087,33.8958,36.1975,37.4845,38.2790,39.6810,40.8132,42.0056,44.5438,45.8629,46.4440,47.7562,48.8945,51.2617,52.5724,53.1743,54.6543,55.9598,57.2011,59.8155,61.2246,61.7724,62.7162,65.0324,66.3990,67.1776,68.6070,69.7421,70.8400,72.1434,73.5310,74.8728,75.9852,76.9874,77.9745,80.2239,81.4484,81.9203,82.9602,84.0418,86.4150,87.7383,88.2458,89.2210,90.1569,91.1603,92.2388,93.3305,94.3824,95.3849,96.3522,97.3315,98.3527,99.4023,100.4551,101.4934,102.5033,103.5027,104.5119,105.5385,106.5715,107.6086,108.6341
Player21OnsetTimes,13.1757,15.2428,16.2232,17.0819,18.0198,20.2622,21.4912,22.3787,24.2097,25.3428,26.2980,28.2436,29.3758,30.1218,31.7679,32.8851,33.8842,36.2101,37.5084,38.2919,39.6463,40.7675,41.9904,44.5895,45.9094,46.4592,47.6768,48.7978,51.2938,52.6810,53.2509,54.5759,55.8336,58.4484,59.8496,60.3447,61.3679,63.5676,65.0172,65.7603,67.3294,68.5106,70.5565,71.7160,72.4105,73.8777,75.0067,75.8468,77.6011,78.6612,79.3105,80.6899,81.7821,82.8225,85.1297,86.3986,86.9106,87.9088,88.9693,90.1259,91.2968,92.3896,93.3761,94.3058,95.2541,96.2594,97.3160,98.3844,99.4344,100.4551,101.4474,102.4409,103.4564,104.4953,105.5385,106.5715,107.5931,108.5957
Player22OnsetTimes,12.5217,15.1002,16.5471,17.5169,18.2239,19.8385,20.9196,23.3171,24.6582,25.1209,26.3684,27.4990,29.6565,30.9473,31.5666,32.5963,33.7299,36.4729,37.8783,38.4695,39.2813,41.2648,42.7501,43.6746,45.2013,46.4120,47.5372,49.8578,51.2047,51.8227,53.0783,55.6520,57.0270,57.5375,59.0699,60.2021,62.3412,63.5520,64.2893,65.7765,67.0851,68.2513,70.6446,71.9947,72.6305,73.6903,74.6421,75.6161,77.8952,79.1205,79.5679,80.6140,82.4251,83.5222,84.2098,85.6863,86.8468,87.8467,88.9494,90.1569,91.3269,92.3896,93.3457,94.2595,95.2233,96.2594,97.3315,98.3992,99.4344,100.4397,101.4311,102.4409,103.4710,104.5119,105.5385,106.5556,107.5749,108.5957
Player23OnsetTimes,12.5565,15.1351,16.5592,17.5049,18.1993,19.8268,20.9196,23.3406,24.6834,25.1209,26.3333,27.4643,29.6810,30.9944,31.5912,32.5609,34.8071,36.1975,36.8163,38.3753,39.5530,41.6825,42.9761,43.6090,44.7967,47.2955,48.7152,49.2247,50.1736,52.2742,53.6494,54.5919,56.4956,57.7775,58.6690,60.5841,61.9468,62.8708,64.9092,66.1568,67.0225,68.7942,70.0353,70.9782,73.1342,74.4042,75.0067,75.9086,77.6331,78.6449,79.2764,80.6603,81.7821,82.8372,85.1457,86.3986,86.8935,87.8619,88.9326,90.1259,91.3121,92.4045,93.3761,94.2740,95.2079,96.2278,97.3160,98.3992,99.4507,100.4551,101.4311,102.4246,103.4564,104.5119,105.5533,106.5715,107.5749,108.5790
Player24OnsetTimes,12.5687,15.1468,16.5592,17.4920,18.1874,19.8385,20.9493,22.1552,23.4751,24.7892,26.2866,27.6869,28.8566,30.0388,31.2687,33.7048,35.1044,35.7055,36.5796,38.9236,40.3110,41.0085,42.5400,43.6904,45.5817,46.8003,47.6768,49.4662,50.7286,52.5561,53.5546,55.1041,56.1497,58.0277,59.2100,60.0213,62.0081,63.3650,64.3667,66.1964,67.4854,68.3726,70.2270,71.5162,72.4744,73.3881,74.4994,75.7245,77.0029,78.1918,79.3262,80.3947,82.6655,83.9764,84.5318,85.4518,87.4102,88.6275,89.3763,90.0490,90.9477,92.1292,93.3910,94.5365,95.5073,96.3824,97.2858,98.2917,99.3860,100.5045,101.5730,102.5592,103.5174,104.4953,105.5204,106.5887,107.6392,108.6646
Player25OnsetTimes,12.9878,15.0528,16.1598,17.1525,18.1386,20.2856,21.4297,22.3087,24.2345,25.4239,26.3568,28.1965,29.2927,30.0858,31.8541,33.0050,33.9432,36.1057,37.3711,38.2318,39.7984,40.9740,42.0838,44.3855,45.6429,46.3493,47.9747,49.1920,50.2222,52.4313,53.7917,54.6543,56.4008,57.6516,58.6374,60.7922,62.1990,62.9957,64.7043,65.8736,66.8999,69.1416,70.4925,71.2064,72.7234,73.8460,74.7634,75.6467,77.7725,78.9979,79.5520,80.4875,82.3507,83.5547,84.3171,85.8010,86.9106,87.8467,88.9326,90.1569,91.3756,92.4668,93.4069,94.2906,95.2233,96.2594,97.3634,98.4447,99.4851,100.4716,101.4474,102.4409,103.4710,104.5284,105.5680,106.5887,107.5931,108.5957
Player26OnsetTimes,13.6927,15.2428,15.8361,16.6894,17.9091,20.7212,22.0369,22.6008,23.6403,25.5753,26.9338,27.7353,29.0577,30.1649,31.2088,33.3823,34.7832,35.5889,36.8754,38.1029,39.2454,41.7875,43.3095,43.8653,44.9408,47.0690,48.3800,49.0668,50.5084,51.6935,53.9664,55.3386,56.0707,57.5564,58.7619,59.8973,62.4979,63.9385,64.5701,65.5169,67.7254,69.0880,69.8176,71.2987,72.5368,73.5784,74.6108,75.6782,76.8482,78.0367,79.2617,80.4259,81.5774,82.8372,84.1795,85.4677,86.7022,87.9241,89.1903,90.3844,91.4367,92.3896,93.3139,94.2740,95.3234,96.3976,97.4565,98.4761,99.4665,100.4551,101.4631,102.5033,103.5486,104.5755,105.5825,106.5887,107.6086,108.6489
Player27OnsetTimes,12.5099,15.0884,16.5471,17.5291,18.2360,19.8268,20.8968,23.3171,24.6717,25.1322,26.3684,27.4990,29.6565,30.9473,31.5666,32.5963,33.7299,36.4729,37.8783,38.4695,39.2813,41.2648,42.7501,43.6746,45.2013,46.4120,47.5372,49.8578,51.2047,51.8227,53.0783,55.6520,57.0270,57.5375,59.0699,60.2021,62.3412,63.5520,64.2893,65.7765,67.0851,68.2513,70.6446,71.9947,72.6305,73.6903,74.6421,75.6161,77.8952,79.1205,79.5679,80.6140,82.4251,83.5222,84.2098,85.6863,86.8468,87.8467,88.9494,90.1569,91.3269,92.3896,93.3457,94.2595,95.2233,96.2594,97.3315,98.3992,99.4344,100.4397,101.4311,102.4409,103.4710,104.5119,105.5385,106.5556,107.5749,108.5957
Player28OnsetTimes,13.1413,15.2075,16.2109,17.0944,18.0440,20.2622,21.4794,22.3668,24.2225,25.3664,26.3096,28.2320,29.3642,30.1218,31.7809,32.9087,33.8958,36.1975,37.4845,38.2790,39.6810,40.8132,42.0056,44.5438,45.8629,46.4440,47.7562,48.8945,51.2617,52.5724,53.1743,54.6543,55.9598,57.2011,59.8155,61.2246,61.7724,62.7162,65.0324,66.3990,67.1776,68.6221,69.7576,70.8400,72.1276,73.5150,74.8568,75.9852,76.9874,77.9745,80.2239,81.4484,81.9203,82.9602,84.0418,86.4150,87.7383,88.2458,89.2210,90.1569,91.1603,92.2388,93.3305,94.3824,95.3849,96.3522,97.3315,98.3527,99.4023,100.4551,101.4934,102.5033,103.5027,104.5119,105.5385,106.5715,107.6086,108.6341
Player29OnsetTimes,12.6865,14.7541,16.0830,17.3058,18.3531,20.2856,21.2818,22.1669,24.3315,25.6420,26.5125,28.0416,29.0226,30.8179,31.9024,32.5238,34.3360,35.7652,36.7345,38.9586,40.2146,40.8584,42.4748,43.7062,44.6872,47.0690,48.5876,49.2875,50.4603,52.5086,53.6810,54.4666,56.3552,57.7318,58.7471,60.7752,62.1026,62.9019,64.7364,65.9829,66.9754,69.0262,70.3212,71.1152,72.8822,74.0645,74.8568,75.5694,77.5412,78.8115,79.5197,80.7059,81.6700,83.7536,85.0065,85.6100,86.8316,87.9088,89.0483,90.2255,91.3426,92.3748,93.3305,94.2740,95.2693,96.3056,97.3634,98.4138,99.4344,100.4397,101.4474,102.4729,103.5027,104.5284,105.5533,106.5715,107.5931,108.6139
Player30OnsetTimes,14.0795,15.1114,15.4208,17.3058,18.8249,19.7786,21.0567,22.2967,23.5347,24.7311,26.1808,27.6052,28.8325,30.0617,31.3054,33.6928,35.0575,35.6589,36.5796,38.9706,40.3464,40.9973,42.4575,43.6090,45.5973,46.8776,47.7403,49.4027,50.6043,52.5242,53.6182,54.4169,56.4161,57.8393,58.8316,60.7268,61.9926,62.8408,64.8472,66.1418,67.0687,68.9018,70.1301,71.0227,73.0882,74.3418,75.0067,76.0643,76.9564,78.7958,79.9360,80.5510,81.8593,83.0207,84.1331,86.4150,87.6605,88.1688,89.2370,90.2255,91.2072,92.2388,93.2989,94.3364,95.3543,96.3522,97.3485,98.3688,99.4023,100.4397,101.4631,102.4883,103.5027,104.5284,105.5533,106.5715,107.5931,108.6139
Player31OnsetTimes,12.7837,14.8616,16.1252,17.2709,18.2835,20.2622,21.3055,22.2024,24.3199,25.5869,26.4627,28.0771,29.0923,29.9693,32.0446,33.2863,34.0866,35.8365,36.9924,38.0559,40.1796,41.4888,42.3291,43.8809,44.9564,47.0864,48.3953,49.0668,50.5084,51.6935,53.9814,55.3685,56.1026,57.5564,58.7471,59.8973,62.5457,64.0007,64.6024,65.4830,67.6636,69.0564,69.8484,71.3934,72.6152,73.5934,74.5790,75.6317,76.8337,78.0681,79.3105,80.4569,81.5927,82.8372,84.1645,85.4518,86.7022,87.9397,89.2054,90.3989,91.4519,92.4045,93.3305,94.2906,95.3234,96.3976,97.4565,98.4761,99.4665,100.4551,101.4784,102.5273,103.5639,104.5906,105.5990,106.6052,107.6243,108.6489
